From,To,Route,Summer_2022,Winter_2022_23,Summer_2023,Winter_2023_24,Latitude_Start,Longitude_Start,Country_Start,LandPart_Start,Distance_to_coastline_Start,GDP_per_capita_2021_Start,Population_50km_Start,Latitude_End,Longitude_End,Country_End,LandPart_End,Distance_to_coastline_End,GDP_per_capita_2021_End,Population_50km_End,Alternative_available,Immigrants_in_End_from_Start,Immigrants_in_Start_from_End,Route_distance,Tourist_Atractiveness,Economic_Atractiveness,Family_travel_Atractiveness,Latitude_min,GDP_per_capita_2021_min,GDP_per_capita_2021_max,Distance_to_coastline_min,Population_50km_max,Population_50km_min,Both_Summers,Both_Winters,Both_Summers_weekly,Both_Winters_weekly
Budapest (BUD),Milan (BGY),Budapest (BUD) - Milan (BGY),276,185,372,295,47.436932,19.25559,Hungary,1,419.2527467,33000,3082992.936,45.668304,9.704209,Italy,1,151.3609256,35900,5857791.668,1,13000,6000,756.7073007,0.626462921,0.365186929,0.00835015,45.668304,33000,35900,45.668304,5857791.668,3082992.936,648,480,10.125,12
Oslo (TRF),Wroclaw (WRO),Oslo (TRF) - Wroclaw (WRO),62,53,92,61,59.186699,10.25862,Norway,1,3.968335011,48400,555411.5218,51.10268,16.88583,Poland,1,298.924916,25900,1527105.622,1,2000,100000,992.6850856,0.680019446,0.26187635,0.058104204,51.10268,25900,48400,51.10268,1527105.622,555411.5218,154,114,2.40625,2.85
Wroclaw (WRO),Oslo (TRF),Wroclaw (WRO) - Oslo (TRF),62,54,93,61,51.10268,16.88583,Poland,1,298.924916,25900,1527105.622,59.186699,10.25862,Norway,1,3.968335011,48400,555411.5218,1,1e+05,2000,992.6850856,0.680019446,0.26187635,0.058104204,51.10268,25900,48400,51.10268,1527105.622,555411.5218,155,115,2.421875,2.875
Wroclaw (WRO),Rome (CIA),Wroclaw (WRO) - Rome (CIA),93,63,93,0,51.10268,16.88583,Poland,1,298.924916,25900,1527105.622,41.799358,12.59493,Italy,1,21.80664781,38700,4528460.494,1,114000,13000,1086.22888,0.654875966,0.29104984,0.054074194,41.799358,25900,38700,41.799358,4528460.494,1527105.622,186,63,2.90625,1.575
Rome (CIA),Wroclaw (WRO),Rome (CIA) - Wroclaw (WRO),0,64,93,0,41.799358,12.59493,Italy,1,21.80664781,38700,4528460.494,51.10268,16.88583,Poland,1,298.924916,25900,1527105.622,1,13000,114000,1086.22888,0.654875966,0.29104984,0.054074194,41.799358,25900,38700,41.799358,4528460.494,1527105.622,93,64,1.453125,1.6
Thessaloniki (SKG),Heraklion (HER),Thessaloniki (SKG) - Heraklion (HER),63,0,93,0,40.519718,22.970949,Greece,1,1.025797733,14600,1271202.742,35.33971,25.18029,Greece,7,0.574608848,13500,342304.1117,0,0,5000,608.3555289,0.899963679,0.09805999,0.001976331,35.33971,13500,14600,35.33971,1271202.742,342304.1117,156,0,2.4375,0
Heraklion (HER),Thessaloniki (SKG),Heraklion (HER) - Thessaloniki (SKG),62,0,93,0,35.33971,25.18029,Greece,7,0.574608848,13500,342304.1117,40.519718,22.970949,Greece,1,1.025797733,14600,1271202.742,0,0,5000,608.3555289,0.899963679,0.09805999,0.001976331,35.33971,13500,14600,35.33971,1271202.742,342304.1117,155,0,2.421875,0
Rome (CIA),Rhodes (RHO),Rome (CIA) - Rhodes (RHO),35,0,62,0,41.799358,12.59493,Italy,1,21.80664781,38700,4528460.494,36.405411,28.086189,Greece,20,0.272016584,14500,143189.8954,0,6000,17000,1463.991116,0.717405131,0.273715656,0.008879213,36.405411,14500,38700,36.405411,4528460.494,143189.8954,97,0,1.515625,0
Rhodes (RHO),Rome (CIA),Rhodes (RHO) - Rome (CIA),35,0,62,0,36.405411,28.086189,Greece,20,0.272016584,14500,143189.8954,41.799358,12.59493,Italy,1,21.80664781,38700,4528460.494,0,17000,6000,1463.991116,0.717405131,0.273715656,0.008879213,36.405411,14500,38700,36.405411,4528460.494,143189.8954,97,0,1.515625,0
Eindhoven (EIN),Girona (GRO),Eindhoven (EIN) - Girona (GRO),117,0,83,0,51.45013,5.374528,Netherlands,1,78.77758677,58900,3456599.454,41.900959,2.760547,Spain,1,23.65306031,27200,1267286.008,1,52000,31000,1081.449937,0.655900716,0.308627458,0.035471826,41.900959,27200,58900,41.900959,3456599.454,1267286.008,200,0,3.125,0
