From,To,Route,Summer_2022,Winter_2022_23,Summer_2023,Winter_2023_24,Latitude_Start,Longitude_Start,Country_Start,LandPart_Start,Distance_to_coastline_Start,GDP_per_capita_2021_Start,Population_50km_Start,Latitude_End,Longitude_End,Country_End,LandPart_End,Distance_to_coastline_End,GDP_per_capita_2021_End,Population_50km_End,Alternative_available,Immigrants_in_End_from_Start,Immigrants_in_Start_from_End,Route_distance,Tourist_Atractiveness,Economic_Atractiveness,Family_travel_Atractiveness,Latitude_min,GDP_per_capita_2021_min,GDP_per_capita_2021_max,Distance_to_coastline_min,Population_50km_max,Population_50km_min,Both_Summers,Both_Winters,Both_Summers_weekly,Both_Winters_weekly
Pula (PUY),Vienna (VIE),Pula (PUY) - Vienna (VIE),35,0,61,0,44.893532,13.92219,Croatia,1,4.568363255,17200,174905.2248,48.110271,16.569719,Austria,1,342.6673814,50900,3421820.475,1,47000,5000,411.5125705,0.672698549,0.303663675,0.023637776,44.893532,17200,50900,44.893532,3421820.475,174905.2248,96,0,1.5,0
Milan (MXP),Madrid (MAD),Milan (MXP) - Madrid (MAD),50,144,0,0,45.6306,8.728111,Italy,1,133.8267841,30600,6159052.001,40.488701,-3.57,Spain,1,297.1826755,35400,7441190.611,1,154000,35000,1150.670761,0.579990002,0.349793494,0.070216504,40.488701,30600,35400,40.488701,7441190.611,6159052.001,50,144,0.78125,3.6
Madrid (MAD),Milan (MXP),Madrid (MAD) - Milan (MXP),204,144,225,163,40.488701,-3.57,Spain,1,297.1826755,35400,7441190.611,45.6306,8.728111,Italy,1,133.8267841,30600,6159052.001,1,35000,154000,1150.670761,0.579990002,0.349793494,0.070216504,40.488701,30600,35400,40.488701,7441190.611,6159052.001,429,307,6.703125,7.675
Valencia (VLC),Milan (MXP),Valencia (VLC) - Milan (MXP),244,144,299,204,39.489311,-0.48162,Spain,1,13.2933215,23700,2240515.048,45.6306,8.728111,Italy,1,133.8267841,30600,6159052.001,1,35000,154000,1017.452911,0.626194947,0.301198618,0.072606436,39.489311,23700,30600,39.489311,6159052.001,2240515.048,543,348,8.484375,8.7
Milan (MXP),Valencia (VLC),Milan (MXP) - Valencia (VLC),213,0,213,151,45.6306,8.728111,Italy,1,133.8267841,30600,6159052.001,39.489311,-0.48162,Spain,1,13.2933215,23700,2240515.048,1,154000,35000,1017.452911,0.626194947,0.301198618,0.072606436,39.489311,23700,30600,39.489311,6159052.001,2240515.048,426,151,6.65625,3.775
Funchal (FNC),Manchester (MAN),Funchal (FNC) - Manchester (MAN),92,62,91,53,32.69788,-16.774401,Portugal,26,0.357542385,19800,257720.7044,53.353741,-2.27495,United Kingdom,2,22.87889375,53214,6629384.467,0,142000,21000,2573.259566,0.623280705,0.323303843,0.053415452,32.69788,19800,53214,32.69788,6629384.467,257720.7044,183,115,2.859375,2.875
Manchester (MAN),Funchal (FNC),Manchester (MAN) - Funchal (FNC),93,62,91,53,53.353741,-2.27495,United Kingdom,2,22.87889375,53214,6629384.467,32.69788,-16.774401,Portugal,26,0.357542385,19800,257720.7044,0,21000,142000,2573.259566,0.623280705,0.323303843,0.053415452,32.69788,19800,53214,32.69788,6629384.467,257720.7044,184,115,2.875,2.875
Berlin (BER),Milan (MXP),Berlin (BER) - Milan (MXP),199,103,222,128,52.362877,13.503722,Germany,1,137.0957948,35600,4769709.193,45.6306,8.728111,Italy,1,133.8267841,30600,6159052.001,1,211000,695000,826.2123985,0.442179744,0.264183029,0.293637227,45.6306,30600,35600,45.6306,6159052.001,4769709.193,421,231,6.578125,5.775
Milan (MXP),Berlin (BER),Milan (MXP) - Berlin (BER),199,103,222,128,45.6306,8.728111,Italy,1,133.8267841,30600,6159052.001,52.362877,13.503722,Germany,1,137.0957948,35600,4769709.193,1,695000,211000,826.2123985,0.442179744,0.264183029,0.293637227,45.6306,30600,35600,45.6306,6159052.001,4769709.193,421,231,6.578125,5.775
Dublin (DUB),Madrid (MAD),Dublin (DUB) - Madrid (MAD),218,375,215,299,53.421379,-6.27,Ireland,3,6.540771771,140200,1919109.862,40.488701,-3.57,Spain,1,297.1826755,35400,7441190.611,0,16000,9000,1453.985373,0.476778606,0.515746985,0.007474409,40.488701,35400,140200,40.488701,7441190.611,1919109.862,433,674,6.765625,16.85
Madrid (MAD),Dublin (DUB),Madrid (MAD) - Dublin (DUB),216,375,215,302,40.488701,-3.57,Spain,1,297.1826755,35400,7441190.611,53.421379,-6.27,Ireland,3,6.540771771,140200,1919109.862,0,9000,16000,1453.985373,0.476778606,0.515746985,0.007474409,40.488701,35400,140200,40.488701,7441190.611,1919109.862,431,677,6.734375,16.925
Vienna (VIE),Zadar (ZAD),Vienna (VIE) - Zadar (ZAD),118,0,108,0,48.110271,16.569719,Austria,1,342.6673814,50900,3421820.475,44.108261,15.34669,Croatia,1,6.196562882,13000,191415.8921,1,5000,47000,455.3918967,0.67985806,0.297021226,0.023120714,44.108261,13000,50900,44.108261,3421820.475,191415.8921,226,0,3.53125,0
Barcelona (BCN),Vienna (VIE),Barcelona (BCN) - Vienna (VIE),373,206,451,235,41.29707,2.078463,Spain,1,1.990337452,30500,5720753.864,48.110271,16.569719,Austria,1,342.6673814,50900,3421820.475,1,8000,12000,1371.278012,0.629676151,0.362470776,0.007853072,41.29707,30500,50900,41.29707,5720753.864,3421820.475,824,441,12.875,11.025
Malaga (AGP),Milan (MXP),Malaga (AGP) - Milan (MXP),155,45,172,60,36.679596,-4.496117,Spain,1,3.673269039,18100,1418375.925,45.6306,8.728111,Italy,1,133.8267841,30600,6159052.001,1,35000,154000,1486.934891,0.64399877,0.286852939,0.06914829,36.679596,18100,30600,36.679596,6159052.001,1418375.925,327,105,5.109375,2.625
Zadar (ZAD),Vienna (VIE),Zadar (ZAD) - Vienna (VIE),119,0,106,0,44.108261,15.34669,Croatia,1,6.196562882,13000,191415.8921,48.110271,16.569719,Austria,1,342.6673814,50900,3421820.475,1,47000,5000,455.3918967,0.67985806,0.297021226,0.023120714,44.108261,13000,50900,44.108261,3421820.475,191415.8921,225,0,3.515625,0
Vienna (VIE),Barcelona (BCN),Vienna (VIE) - Barcelona (BCN),372,207,453,235,48.110271,16.569719,Austria,1,342.6673814,50900,3421820.475,41.29707,2.078463,Spain,1,1.990337452,30500,5720753.864,1,12000,8000,1371.278012,0.629676151,0.362470776,0.007853072,41.29707,30500,50900,41.29707,5720753.864,3421820.475,825,442,12.890625,11.05
Milan (MXP),Malaga (AGP),Milan (MXP) - Malaga (AGP),155,45,172,60,45.6306,8.728111,Italy,1,133.8267841,30600,6159052.001,36.679596,-4.496117,Spain,1,3.673269039,18100,1418375.925,1,154000,35000,1486.934891,0.64399877,0.286852939,0.06914829,36.679596,18100,30600,36.679596,6159052.001,1418375.925,327,105,5.109375,2.625
Athens (ATH),London (STN),Athens (ATH) - London (STN),212,140,216,236,37.936352,23.94446,Greece,1,5.118845717,17900,3695429.636,51.884998,0.235,United Kingdom,2,35.23390898,30698,8082506.783,0,75000,18000,2410.710652,0.617101031,0.349607869,0.0332911,37.936352,17900,30698,37.936352,8082506.783,3695429.636,428,376,6.6875,9.4
London (STN),Athens (ATH),London (STN) - Athens (ATH),212,139,217,235,51.884998,0.235,United Kingdom,2,35.23390898,30698,8082506.783,37.936352,23.94446,Greece,1,5.118845717,17900,3695429.636,0,18000,75000,2410.710652,0.617101031,0.349607869,0.0332911,37.936352,17900,30698,37.936352,8082506.783,3695429.636,429,374,6.703125,9.35
Dublin (DUB),Newcastle (NCL),Dublin (DUB) - Newcastle (NCL),383,248,284,244,53.421379,-6.27,Ireland,3,6.540771771,140200,1919109.862,55.037498,-1.69166,United Kingdom,2,13.40311154,27900,1984850.65,0,370000,305000,347.9347911,0.37608422,0.390762069,0.233153711,53.421379,27900,140200,53.421379,1984850.65,1919109.862,667,492,10.421875,12.3
Newcastle (NCL),Dublin (DUB),Newcastle (NCL) - Dublin (DUB),384,262,474,243,55.037498,-1.69166,United Kingdom,2,13.40311154,27900,1984850.65,53.421379,-6.27,Ireland,3,6.540771771,140200,1919109.862,0,305000,370000,347.9347911,0.37608422,0.390762069,0.233153711,53.421379,27900,140200,53.421379,1984850.65,1919109.862,858,505,13.40625,12.625
Bologna (BLQ),Cagliari (CAG),Bologna (BLQ) - Cagliari (CAG),302,146,430,168,44.535439,11.28866,Italy,1,77.26361694,42600,2154058.614,39.251461,9.054283,Italy,4,3.145061284,28600,695948.6678,0,0,5000,616.6171618,0.770135204,0.227948767,0.001916029,39.251461,28600,42600,39.251461,2154058.614,695948.6678,732,314,11.4375,7.85
London (STN),Palma de Mallorca (PMI),London (STN) - Palma de Mallorca (PMI),372,0,516,159,51.884998,0.235,United Kingdom,2,35.23390898,30698,8082506.783,39.55167,2.738808,Spain,5,2.485606237,26600,906926.6876,0,303000,151000,1386.496234,0.530857797,0.319388729,0.149753474,39.55167,26600,30698,39.55167,8082506.783,906926.6876,888,159,13.875,3.975
Krakow (KRK),Vienna (VIE),Krakow (KRK) - Vienna (VIE),220,75,225,122,50.077728,19.78483,Poland,1,453.0006045,11200,2514042.449,48.110271,16.569719,Austria,1,342.6673814,50900,3421820.475,1,76000,5000,320.7289638,0.649101481,0.312714503,0.038184016,48.110271,11200,50900,48.110271,3421820.475,2514042.449,445,197,6.953125,4.925
Cagliari (CAG),Bologna (BLQ),Cagliari (CAG) - Bologna (BLQ),298,147,429,168,39.251461,9.054283,Italy,4,3.145061284,28600,695948.6678,44.535439,11.28866,Italy,1,77.26361694,42600,2154058.614,0,0,5000,616.6171618,0.770135204,0.227948767,0.001916029,39.251461,28600,42600,39.251461,2154058.614,695948.6678,727,315,11.359375,7.875
Palma de Mallorca (PMI),London (STN),Palma de Mallorca (PMI) - London (STN),602,153,674,158,39.55167,2.738808,Spain,5,2.485606237,26600,906926.6876,51.884998,0.235,United Kingdom,2,35.23390898,30698,8082506.783,0,151000,303000,1386.496234,0.530857797,0.319388729,0.149753474,39.55167,26600,30698,39.55167,8082506.783,906926.6876,1276,311,19.9375,7.775
Krakow (KRK),Milan (BGY),Krakow (KRK) - Milan (BGY),245,208,318,263,50.077728,19.78483,Poland,1,453.0006045,11200,2514042.449,45.668304,9.704209,Italy,1,151.3609256,35900,5857791.668,1,114000,13000,897.4887743,0.613605483,0.3330821,0.053312417,45.668304,11200,35900,45.668304,5857791.668,2514042.449,563,471,8.796875,11.775
Vienna (VIE),Krakow (KRK),Vienna (VIE) - Krakow (KRK),218,76,225,122,48.110271,16.569719,Austria,1,342.6673814,50900,3421820.475,50.077728,19.78483,Poland,1,453.0006045,11200,2514042.449,1,5000,76000,320.7289638,0.649101481,0.312714503,0.038184016,48.110271,11200,50900,48.110271,3421820.475,2514042.449,443,198,6.921875,4.95
Dublin (DUB),Paris (BVA),Dublin (DUB) - Paris (BVA),393,170,558,365,53.421379,-6.27,Ireland,3,6.540771771,140200,1919109.862,49.453465,2.115138,France,1,85.79422426,27300,1281492.573,0,11000,13000,729.7783646,0.518954605,0.471393189,0.009652206,49.453465,27300,140200,49.453465,1919109.862,1281492.573,951,535,14.859375,13.375
Paris (BVA),Dublin (DUB),Paris (BVA) - Dublin (DUB),393,291,558,365,49.453465,2.115138,France,1,85.79422426,27300,1281492.573,53.421379,-6.27,Ireland,3,6.540771771,140200,1919109.862,0,13000,11000,729.7783646,0.518954605,0.471393189,0.009652206,49.453465,27300,140200,49.453465,1919109.862,1281492.573,951,656,14.859375,16.4
Dublin (DUB),Cagliari (CAG),Dublin (DUB) - Cagliari (CAG),64,0,60,0,53.421379,-6.27,Ireland,3,6.540771771,140200,1919109.862,39.251461,9.054283,Italy,4,3.145061284,28600,695948.6678,0,4000,9000,1959.806623,0.586127322,0.409497976,0.004374702,39.251461,28600,140200,39.251461,1919109.862,695948.6678,124,0,1.9375,0
Malta (MLA),Vienna (VIE),Malta (MLA) - Vienna (VIE),0,43,159,114,35.857491,14.4775,Malta,6,2.940172648,30600,515358.0002,48.110271,16.569719,Austria,1,342.6673814,50900,3421820.475,0,0,5000,1374.827227,0.723414185,0.274907436,0.001678379,35.857491,30600,50900,35.857491,3421820.475,515358.0002,159,157,2.484375,3.925
Cagliari (CAG),Dublin (DUB),Cagliari (CAG) - Dublin (DUB),62,0,60,0,39.251461,9.054283,Italy,4,3.145061284,28600,695948.6678,53.421379,-6.27,Ireland,3,6.540771771,140200,1919109.862,0,9000,4000,1959.806623,0.586127322,0.409497976,0.004374702,39.251461,28600,140200,39.251461,1919109.862,695948.6678,122,0,1.90625,0
Barcelona (BCN),Palma de Mallorca (PMI),Barcelona (BCN) - Palma de Mallorca (PMI),851,398,1033,513,41.29707,2.078463,Spain,1,1.990337452,30500,5720753.864,39.55167,2.738808,Spain,5,2.485606237,26600,906926.6876,0,0,5000,202.2010847,0.684278012,0.314017503,0.001704485,39.55167,26600,30500,39.55167,5720753.864,906926.6876,1884,911,29.4375,22.775
Palma de Mallorca (PMI),Vienna (VIE),Palma de Mallorca (PMI) - Vienna (VIE),954,168,779,221,39.55167,2.738808,Spain,5,2.485606237,26600,906926.6876,48.110271,16.569719,Austria,1,342.6673814,50900,3421820.475,0,8000,12000,1459.441451,0.704310247,0.287356432,0.008333321,39.55167,26600,50900,39.55167,3421820.475,906926.6876,1733,389,27.078125,9.725
Berlin (BER),Heraklion (HER),Berlin (BER) - Heraklion (HER),63,0,62,0,52.362877,13.503722,Germany,1,137.0957948,35600,4769709.193,35.33971,25.18029,Greece,7,0.574608848,13500,342304.1117,0,117000,392000,2108.103429,0.605212178,0.22599804,0.168789782,35.33971,13500,35600,35.33971,4769709.193,342304.1117,125,0,1.953125,0
London (STN),Ostrava (OSR),London (STN) - Ostrava (OSR),62,41,60,46,51.884998,0.235,United Kingdom,2,35.23390898,30698,8082506.783,49.696289,18.11105,Czechia,1,477.7851328,17400,1762793.597,0,6000,46000,1277.957982,0.555849034,0.421881014,0.022269952,49.696289,17400,30698,49.696289,8082506.783,1762793.597,122,87,1.90625,2.175
Heraklion (HER),Berlin (BER),Heraklion (HER) - Berlin (BER),62,0,62,0,35.33971,25.18029,Greece,7,0.574608848,13500,342304.1117,52.362877,13.503722,Germany,1,137.0957948,35600,4769709.193,0,392000,117000,2108.103429,0.605212178,0.22599804,0.168789782,35.33971,13500,35600,35.33971,4769709.193,342304.1117,124,0,1.9375,0
Oslo (TRF),London (STN),Oslo (TRF) - London (STN),124,82,155,65,59.186699,10.25862,Norway,1,3.968335011,48400,555411.5218,51.884998,0.235,United Kingdom,2,35.23390898,30698,8082506.783,0,20000,20000,1027.036125,0.500995776,0.481731096,0.017273128,51.884998,30698,48400,51.884998,8082506.783,555411.5218,279,147,4.359375,3.675
Manchester (MAN),Bratislava (BTS),Manchester (MAN) - Bratislava (BTS),93,44,67,46,53.353741,-2.27495,United Kingdom,2,22.87889375,53214,6629384.467,48.170158,17.21266,Slovakia,1,377.8896832,39000,1259466.066,0,9000,72000,1482.611883,0.537094002,0.427987013,0.034918985,48.170158,39000,53214,48.170158,6629384.467,1259466.066,160,90,2.5,2.25
Bratislava (BTS),Manchester (MAN),Bratislava (BTS) - Manchester (MAN),93,44,66,46,48.170158,17.21266,Slovakia,1,377.8896832,39000,1259466.066,53.353741,-2.27495,United Kingdom,2,22.87889375,53214,6629384.467,0,72000,9000,1482.611883,0.537094002,0.427987013,0.034918985,48.170158,39000,53214,48.170158,6629384.467,1259466.066,159,90,2.484375,2.25
Manchester (MAN),Carcassonne (CCF),Manchester (MAN) - Carcassonne (CCF),61,44,137,45,53.353741,-2.27495,United Kingdom,2,22.87889375,53214,6629384.467,43.215809,2.308544,France,1,65.05023176,23500,431007.6533,0,170000,170000,1177.937018,0.529429578,0.34967594,0.120894481,43.215809,23500,53214,43.215809,6629384.467,431007.6533,198,89,3.09375,2.225
Carcassonne (CCF),Manchester (MAN),Carcassonne (CCF) - Manchester (MAN),60,42,137,45,43.215809,2.308544,France,1,65.05023176,23500,431007.6533,53.353741,-2.27495,United Kingdom,2,22.87889375,53214,6629384.467,0,170000,170000,1177.937018,0.529429578,0.34967594,0.120894481,43.215809,23500,53214,43.215809,6629384.467,431007.6533,197,87,3.078125,2.175
Manchester (MAN),Limoges (LIG),Manchester (MAN) - Limoges (LIG),92,33,91,45,53.353741,-2.27495,United Kingdom,2,22.87889375,53214,6629384.467,45.860828,1.180278,France,1,157.8746219,30200,423085.4137,0,170000,170000,870.3184004,0.506840893,0.366461355,0.126697752,45.860828,30200,53214,45.860828,6629384.467,423085.4137,183,78,2.859375,1.95
Warsaw (WMI),Milan (BGY),Warsaw (WMI) - Milan (BGY),247,166,198,195,52.451111,20.651667,Poland,1,206.0903055,20900,3069285.553,45.668304,9.704209,Italy,1,151.3609256,35900,5857791.668,1,114000,13000,1096.849729,0.606208242,0.339458714,0.054333044,45.668304,20900,35900,45.668304,5857791.668,3069285.553,445,361,6.953125,9.025
Kerry (KIR),Manchester (MAN),Kerry (KIR) - Manchester (MAN),62,44,93,43,52.18087,-9.52378,Ireland,3,12.19480492,159300,199893.1806,53.353741,-2.27495,United Kingdom,2,22.87889375,53214,6629384.467,0,370000,305000,505.1648846,0.299167914,0.502598271,0.198233815,52.18087,53214,159300,52.18087,6629384.467,199893.1806,155,87,2.421875,2.175
Limoges (LIG),Manchester (MAN),Limoges (LIG) - Manchester (MAN),92,31,89,45,45.860828,1.180278,France,1,157.8746219,30200,423085.4137,53.353741,-2.27495,United Kingdom,2,22.87889375,53214,6629384.467,0,170000,170000,870.3184004,0.506840893,0.366461355,0.126697752,45.860828,30200,53214,45.860828,6629384.467,423085.4137,181,76,2.828125,1.9
Berlin (BER),Rome (FCO),Berlin (BER) - Rome (FCO),401,144,427,249,52.362877,13.503722,Germany,1,137.0957948,35600,4769709.193,41.80447,12.25079,Italy,1,2.852096897,38700,4100454.509,1,211000,695000,1179.185165,0.479743339,0.227169853,0.293086809,41.80447,35600,38700,41.80447,4769709.193,4100454.509,828,393,12.9375,9.825
Ostrava (OSR),London (STN),Ostrava (OSR) - London (STN),62,41,60,46,49.696289,18.11105,Czechia,1,477.7851328,17400,1762793.597,51.884998,0.235,United Kingdom,2,35.23390898,30698,8082506.783,0,46000,6000,1277.957982,0.555849034,0.421881014,0.022269952,49.696289,17400,30698,49.696289,8082506.783,1762793.597,122,87,1.90625,2.175
Rome (FCO),Berlin (BER),Rome (FCO) - Berlin (BER),401,144,452,250,41.80447,12.25079,Italy,1,2.852096897,38700,4100454.509,52.362877,13.503722,Germany,1,137.0957948,35600,4769709.193,1,695000,211000,1179.185165,0.479743339,0.227169853,0.293086809,41.80447,35600,38700,41.80447,4769709.193,4100454.509,853,394,13.328125,9.85
Nottingham (EMA),Shannon (SNN),Nottingham (EMA) - Shannon (SNN),410,0,0,0,52.831108,-1.32805,United Kingdom,2,86.75511879,28883,4445729.202,52.701969,-8.92481,Ireland,3,1.153536861,61200,355534.7457,0,305000,370000,511.6668531,0.425344325,0.316215218,0.258440457,52.701969,28883,61200,52.701969,4445729.202,355534.7457,410,0,6.40625,0
Berlin (BER),Luxembourg (LUX),Berlin (BER) - Luxembourg (LUX),62,0,78,0,52.362877,13.503722,Germany,1,137.0957948,35600,4769709.193,49.623329,6.204444,Luxembourg,1,224.9007087,113100,1665552.907,1,17000,23000,595.0650605,0.487946317,0.496093502,0.015960182,49.623329,35600,113100,49.623329,4769709.193,1665552.907,140,0,2.1875,0
Luxembourg (LUX),Berlin (BER),Luxembourg (LUX) - Berlin (BER),62,0,78,0,49.623329,6.204444,Luxembourg,1,224.9007087,113100,1665552.907,52.362877,13.503722,Germany,1,137.0957948,35600,4769709.193,1,23000,17000,595.0650605,0.487946317,0.496093502,0.015960182,49.623329,35600,113100,49.623329,4769709.193,1665552.907,140,0,2.1875,0
Eindhoven (EIN),Milan (BGY),Eindhoven (EIN) - Milan (BGY),214,81,306,194,51.45013,5.374528,Netherlands,1,78.77758677,58900,3456599.454,45.668304,9.704209,Italy,1,151.3609256,35900,5857791.668,1,13000,36000,718.0610527,0.573820003,0.40558162,0.020598376,45.668304,35900,58900,45.668304,5857791.668,3456599.454,520,275,8.125,6.875
Athens (ATH),Vienna (VIE),Athens (ATH) - Vienna (VIE),205,78,230,168,37.936352,23.94446,Greece,1,5.118845717,17900,3695429.636,48.110271,16.569719,Austria,1,342.6673814,50900,3421820.475,1,7000,2000,1280.377832,0.712070436,0.284589175,0.003340389,37.936352,17900,50900,37.936352,3695429.636,3421820.475,435,246,6.796875,6.15
Vienna (VIE),Athens (ATH),Vienna (VIE) - Athens (ATH),207,80,232,169,48.110271,16.569719,Austria,1,342.6673814,50900,3421820.475,37.936352,23.94446,Greece,1,5.118845717,17900,3695429.636,1,2000,7000,1280.377832,0.712070436,0.284589175,0.003340389,37.936352,17900,50900,37.936352,3695429.636,3421820.475,439,249,6.859375,6.225
Dublin (DUB),Brussels (CRL),Dublin (DUB) - Brussels (CRL),93,53,104,59,53.421379,-6.27,Ireland,3,6.540771771,140200,1919109.862,50.459972,4.453121,Belgium,1,98.76086258,29100,3758955.219,0,3000,2000,805.3340306,0.477239139,0.521158258,0.001602603,50.459972,29100,140200,50.459972,3758955.219,1919109.862,197,112,3.078125,2.8
Brussels (CRL),Dublin (DUB),Brussels (CRL) - Dublin (DUB),93,53,105,59,50.459972,4.453121,Belgium,1,98.76086258,29100,3758955.219,53.421379,-6.27,Ireland,3,6.540771771,140200,1919109.862,0,2000,3000,805.3340306,0.477239139,0.521158258,0.001602603,50.459972,29100,140200,50.459972,3758955.219,1919109.862,198,112,3.09375,2.8
Naples (NAP),Palermo (PMO),Naples (NAP) - Palermo (PMO),214,107,237,124,40.886028,14.29078,Italy,1,4.814727265,20400,4865825.823,38.175949,13.09101,Italy,9,0.409275249,20200,1163738.763,0,0,5000,318.7892585,0.741064577,0.257177238,0.001758186,38.175949,20200,20400,38.175949,4865825.823,1163738.763,451,231,7.046875,5.775
Palermo (PMO),Naples (NAP),Palermo (PMO) - Naples (NAP),215,108,236,124,38.175949,13.09101,Italy,9,0.409275249,20200,1163738.763,40.886028,14.29078,Italy,1,4.814727265,20400,4865825.823,0,0,5000,318.7892585,0.741064577,0.257177238,0.001758186,38.175949,20200,20400,38.175949,4865825.823,1163738.763,451,232,7.046875,5.8
Venice (TSF),Vienna (VIE),Venice (TSF) - Vienna (VIE),0,0,0,214,45.648399,12.19442,Italy,1,29.2237825,35100,2976787.329,48.110271,16.569719,Austria,1,342.6673814,50900,3421820.475,1,34000,16000,431.1062784,0.655784138,0.320263563,0.023952299,45.648399,35100,50900,45.648399,3421820.475,2976787.329,0,214,0,5.35
Venice (VCE),Vienna (VIE),Venice (VCE) - Vienna (VIE),211,144,403,0,45.505268,12.35194,Italy,1,9.316967158,31500,2523698.441,48.110271,16.569719,Austria,1,342.6673814,50900,3421820.475,1,34000,16000,432.7568353,0.659408233,0.316891651,0.023700116,45.505268,31500,50900,45.505268,3421820.475,2523698.441,614,144,9.59375,3.6
Budapest (BUD),Zadar (ZAD),Budapest (BUD) - Zadar (ZAD),63,0,52,0,47.436932,19.25559,Hungary,1,419.2527467,33000,3082992.936,44.108261,15.34669,Croatia,1,6.196562882,13000,191415.8921,1,1000,2000,478.8686324,0.749358018,0.249642598,0.000999384,44.108261,13000,33000,44.108261,3082992.936,191415.8921,115,0,1.796875,0
Vienna (VIE),Venice (TSF),Vienna (VIE) - Venice (TSF),0,0,0,217,48.110271,16.569719,Austria,1,342.6673814,50900,3421820.475,45.648399,12.19442,Italy,1,29.2237825,35100,2976787.329,1,16000,34000,431.1062784,0.655784138,0.320263563,0.023952299,45.648399,35100,50900,45.648399,3421820.475,2976787.329,0,217,0,5.425
Valencia (VLC),London (STN),Valencia (VLC) - London (STN),333,232,341,312,39.489311,-0.48162,Spain,1,13.2933215,23700,2240515.048,51.884998,0.235,United Kingdom,2,35.23390898,30698,8082506.783,0,151000,303000,1381.042517,0.533261437,0.317752347,0.148986216,39.489311,23700,30698,39.489311,8082506.783,2240515.048,674,544,10.53125,13.6
Budapest (BUD),Brussels (CRL),Budapest (BUD) - Brussels (CRL),214,148,37,154,47.436932,19.25559,Hungary,1,419.2527467,33000,3082992.936,50.459972,4.453121,Belgium,1,98.76086258,29100,3758955.219,1,8000,3000,1131.103535,0.693878275,0.300796109,0.005325616,47.436932,29100,33000,47.436932,3758955.219,3082992.936,251,302,3.921875,7.55
Brussels (CRL),Budapest (BUD),Brussels (CRL) - Budapest (BUD),214,107,254,170,50.459972,4.453121,Belgium,1,98.76086258,29100,3758955.219,47.436932,19.25559,Hungary,1,419.2527467,33000,3082992.936,1,3000,8000,1131.103535,0.693878275,0.300796109,0.005325616,47.436932,29100,33000,47.436932,3758955.219,3082992.936,468,277,7.3125,6.925
Milan (BGY),Gdansk (GDN),Milan (BGY) - Gdansk (GDN),126,66,147,93,45.668304,9.704209,Italy,1,151.3609256,35900,5857791.668,54.376484,18.47064,Poland,1,9.82572497,23200,1570103.546,1,13000,114000,1152.60325,0.604412527,0.341006667,0.054580806,45.668304,23200,35900,45.668304,5857791.668,1570103.546,273,159,4.265625,3.975
London (STN),Vienna (VIE),London (STN) - Vienna (VIE),445,317,441,382,51.884998,0.235,United Kingdom,2,35.23390898,30698,8082506.783,48.110271,16.569719,Austria,1,342.6673814,50900,3421820.475,0,12000,21000,1238.929154,0.527801564,0.458906857,0.013291579,48.110271,30698,50900,48.110271,8082506.783,3421820.475,886,699,13.84375,17.475
Alicante (ALC),Liverpool (LPL),Alicante (ALC) - Liverpool (LPL),216,147,236,159,38.282162,-0.55815,Spain,1,3.344711533,19700,1667729.768,53.333611,-2.84972,United Kingdom,2,0.702782965,34545,5648670.327,0,151000,303000,1684.768345,0.581794357,0.261732998,0.156472646,38.282162,19700,34545,38.282162,5648670.327,1667729.768,452,306,7.0625,7.65
Liverpool (LPL),Alicante (ALC),Liverpool (LPL) - Alicante (ALC),218,147,235,158,53.333611,-2.84972,United Kingdom,2,0.702782965,34545,5648670.327,38.282162,-0.55815,Spain,1,3.344711533,19700,1667729.768,0,303000,151000,1684.768345,0.581794357,0.261732998,0.156472646,38.282162,19700,34545,38.282162,5648670.327,1667729.768,453,305,7.078125,7.625
Barcelona (BCN),Naples (NAP),Barcelona (BCN) - Naples (NAP),214,142,214,181,41.29707,2.078463,Spain,1,1.990337452,30500,5720753.864,40.886028,14.29078,Italy,1,4.814727265,20400,4865825.823,1,35000,154000,1024.793188,0.631476701,0.293617008,0.074906291,40.886028,20400,30500,40.886028,5720753.864,4865825.823,428,323,6.6875,8.075
London (STN),Shannon (SNN),London (STN) - Shannon (SNN),461,298,543,266,51.884998,0.235,United Kingdom,2,35.23390898,30698,8082506.783,52.701969,-8.92481,Ireland,3,1.153536861,61200,355534.7457,0,305000,370000,629.822629,0.379495475,0.394384604,0.226119921,51.884998,30698,61200,51.884998,8082506.783,355534.7457,1004,564,15.6875,14.1
Naples (NAP),Barcelona (BCN),Naples (NAP) - Barcelona (BCN),215,141,214,180,40.886028,14.29078,Italy,1,4.814727265,20400,4865825.823,41.29707,2.078463,Spain,1,1.990337452,30500,5720753.864,1,154000,35000,1024.793188,0.631476701,0.293617008,0.074906291,40.886028,20400,30500,40.886028,5720753.864,4865825.823,429,321,6.703125,8.025
Bordeaux (BOD),Marrakesh (RAK),Bordeaux (BOD) - Marrakesh (RAK),106,127,124,202,44.828609,-0.71527,France,1,22.18719057,36600,1427658.783,31.60688,-8.0363,Morocco,8,131.7891718,3300,2069585.465,0,38000,1060000,1603.449108,0.5683655,0.120842154,0.310792346,31.60688,3300,36600,31.60688,2069585.465,1427658.783,230,329,3.59375,8.225
